source_neighborhood,standardized_neighborhood
Battery Park City,Battery Park/Tribeca
Tribeca,Battery Park/Tribeca
Murray Hill,Murray Hill/Stuyvesant
Stuyvesant Town,Murray Hill/Stuyvesant
Chelsea,Chelsea/Clinton
"Hell's Kitchen",Chelsea/Clinton
Chinatown,Lower East Side
Lower East Side,Lower East Side
Civic Center,Lower East Side
Inwood,Washington Heights
Two Bridges,Lower East Side
Midtown,Midtown Business District
Greenwich Village,Greenwich Village
East Harlem,East Harlem
East Village,Lower East Side
Financial District,Lower Manhattan
Flatiron District,Chelsea/Clinton
Gramercy,Murray Hill/Stuyvesant
Harlem,Central Harlem
Kips Bay,Murray Hill/Stuyvesant
Little Italy,Lower East Side
Marble Hill,Inwood
Morningside Heights,Manhattanville
NoHo,Greenwich Village
Nolita,Greenwich Village
Roosevelt Island,Upper East Side
SoHo,Greenwich Village
Theater District,Midtown Business District
Upper East Side,Upper East Side
Upper West Side,Upper West Side
Washington Heights,Washington Heights
West Village,Greenwich Village
