Neighborhood,Borough,Number of Train Stations,Number of Bike Stations,Mean Distance from Train Stop to Bike Station (km)
Astoria,Queens,4,49,0.082
Bay Ridge,Brooklyn,2,6,0.53
Bedford-Stuyvesant,Brooklyn,10,83,0.109
Boerum Hill,Brooklyn,1,10,0.023
Bronx Park,Bronx,1,1,0.942
Brooklyn Heights,Brooklyn,2,12,0.042
Brownsville,Brooklyn,7,5,1.045
Bushwick,Brooklyn,12,60,0.07
Carroll Gardens,Brooklyn,1,13,0.042
Central Park,Manhattan,6,11,0.089
Chelsea,Manhattan,9,42,0.076
Chinatown,Manhattan,1,9,0.044
Civic Center,Manhattan,3,4,0.116
Claremont Village,Bronx,1,19,0.043
Clinton Hill,Brooklyn,3,10,0.089
Cobble Hill,Brooklyn,1,3,0.069
Concourse,Bronx,4,17,0.125
Corona,Queens,1,25,0.042
Crown Heights,Brooklyn,7,72,0.061
Cypress Hills,Brooklyn,9,4,1.068
Ditmars Steinway,Queens,1,40,0.108
Downtown Brooklyn,Brooklyn,8,10,0.103
East Flatbush,Brooklyn,4,37,0.482
East Harlem,Manhattan,5,40,0.071
East Morrisania,Bronx,2,12,0.042
East Village,Manhattan,5,42,0.108
Elmhurst,Queens,6,33,0.061
Financial District,Manhattan,15,25,0.088
Flatbush,Brooklyn,5,25,0.449
Flatiron District,Manhattan,2,6,0.145
Fordham,Bronx,6,26,0.074
Fort Greene,Brooklyn,3,22,0.093
Glendale,Queens,1,6,0.089
Gowanus,Brooklyn,2,16,0.146
Gramercy,Manhattan,2,9,0.101
Greenpoint,Brooklyn,2,35,0.129
Greenwich Village,Manhattan,2,14,0.056
Harlem,Manhattan,15,68,0.083
Hell's Kitchen,Manhattan,3,29,0.072
Inwood,Manhattan,4,23,0.029
Jackson Heights,Queens,2,40,0.091
Kensington,Brooklyn,3,10,0.716
Kingsbridge,Bronx,4,42,0.131
Long Island City,Queens,14,68,0.098
Longwood,Bronx,8,34,0.071
Lower East Side,Manhattan,4,27,0.111
Marble Hill,Manhattan,1,2,0.099
Melrose,Bronx,1,8,0.087
Middle Village,Queens,1,3,0.159
Midtown,Manhattan,18,59,0.081
Morningside Heights,Manhattan,2,11,0.102
Morris Heights,Bronx,1,15,0.091
Mott Haven,Bronx,7,27,0.101
Mount Eden,Bronx,2,5,0.085
Mount Hope,Bronx,3,12,0.095
NoHo,Manhattan,2,2,0.07
Norwood,Bronx,4,9,0.331
Park Slope,Brooklyn,5,20,0.082
Prospect Heights,Brooklyn,1,8,0.05
Prospect Park,Brooklyn,2,15,0.069
Prospect-Lefferts Gardens,Brooklyn,4,25,0.073
Ridgewood,Queens,3,39,0.114
Roosevelt Island,Manhattan,1,3,0.209
SoHo,Manhattan,8,16,0.078
South Slope,Brooklyn,2,6,0.08
Sunnyside,Queens,4,29,0.064
Sunset Park,Brooklyn,6,55,0.056
Theater District,Manhattan,8,9,0.084
Tribeca,Manhattan,6,21,0.069
Upper East Side,Manhattan,9,44,0.145
Upper West Side,Manhattan,7,46,0.11
Vinegar Hill,Brooklyn,1,6,0.002
Washington Heights,Manhattan,11,46,0.082
West Farms,Bronx,1,9,0.058
West Village,Manhattan,4,21,0.033
Williamsburg,Brooklyn,12,80,0.078
Windsor Terrace,Brooklyn,2,12,0.093
Woodside,Queens,4,35,0.074
