,station id,station name,station latitude,station longitude
0,493.0,W 45 St & 6 Ave,40.7568001,-73.98291153
1,3143.0,5 Ave & E 78 St,40.77632142182271,-73.96427392959595
2,317.0,E 6 St & Avenue B,40.72453734,-73.98185424
3,249.0,Harrison St & Hudson St,40.71870987,-74.0090009
4,3552.0,W 113 St & Broadway,40.805973,-73.964928
6,3507.0,Park Ave & E 124 St,40.8045555,-73.9396861
7,478.0,11 Ave & W 41 St,40.76030096,-73.99884222
8,514.0,12 Ave & W 40 St,40.76087502,-74.00277668
9,116.0,W 17 St & 8 Ave,40.74177603,-74.00149746
11,3434.0,W 88 St & West End Ave,40.79025417330419,-73.97718340158461
13,402.0,Broadway & E 22 St,40.7403432,-73.98955109
15,382.0,University Pl & E 14 St,40.73492695,-73.99200509
17,455.0,1 Ave & E 44 St,40.75001986,-73.96905301
20,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152
21,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384
23,393.0,E 5 St & Avenue C,40.72299208,-73.97995466
24,3244.0,University Pl & E 8 St,40.73143724085228,-73.99490341544151
26,3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188
28,377.0,6 Ave & Canal St,40.72243797,-74.00566443
29,440.0,E 45 St & 3 Ave,40.75255434,-73.97282625
30,3263.0,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
32,3259.0,9 Ave & W 28 St,40.74937024193277,-73.99923384189606
35,3718.0,E 11 St & Avenue B,40.72746420692392,-73.97950418293476
37,303.0,Mercer St & Spring St,40.72362738,-73.99949601
40,3746.0,6 Ave & Broome St,40.724308321602166,-74.00473035871983
41,485.0,W 37 St & 5 Ave,40.75038009,-73.98338988
42,412.0,Forsyth St & Canal St,40.7158155,-73.99422366
43,3501.0,E 118 St & Madison Ave,40.8014866,-73.9442507
44,3656.0,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
45,3697.0,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852
46,546.0,E 30 St & Park Ave S,40.74444921,-73.98303529
48,3707.0,Lexington Ave & E 26 St,40.741459,-73.983293
50,434.0,9 Ave & W 18 St,40.74317449,-74.00366443
57,291.0,Madison St & Montgomery St,40.713126,-73.984844
58,540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
59,489.0,10 Ave & W 28 St,40.75066386,-74.00176802
62,487.0,E 20 St & FDR Drive,40.73314259,-73.97573881
64,477.0,W 41 St & 8 Ave,40.75640548,-73.9900262
65,331.0,Pike St & Monroe St,40.71173107,-73.99193043
66,281.0,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
67,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085
69,3553.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
71,3628.0,Lenox Ave & W 117 St,40.8025566,-73.9490782
80,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988
82,401.0,Allen St & Rivington St,40.72019576,-73.98997825
84,3687.0,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846
86,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556
89,503.0,E 20 St & Park Ave,40.73827428,-73.98751968
90,340.0,Madison St & Clinton St,40.71269042,-73.98776323
91,3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
92,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205
94,238.0,Bank St & Washington St,40.7361967,-74.00859207
95,528.0,2 Ave & E 31 St,40.74290902,-73.97706058
96,336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065
98,3724.0,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
