,neighborhood,casual,member
0,Battery Park City,117871,393992
1,Central Park,309167,405259
2,Chelsea,471845,2486493
3,Chinatown,74620,404110
4,Civic Center,48759,135657
5,East Harlem,114707,550893
6,East Village,370854,2079398
7,Financial District,178949,572078
8,Flatiron District,66649,352694
9,Governors Island,17864,10472
10,Gramercy,73521,467988
11,Greenwich Village,147690,714173
12,Harlem,192749,862925
13,Hell's Kitchen,322007,1517680
14,Inwood,20935,52964
15,Kips Bay,94774,603990
16,Little Italy,2505,11110
17,Lower East Side,209659,1073976
18,Marble Hill,1106,3370
19,Midtown,571010,2558307
20,Morningside Heights,47235,209125
21,Murray Hill,75635,408853
22,NoHo,28115,144738
23,Nolita,42165,159327
24,Randall's Island,12190,25425
25,Roosevelt Island,26968,32254
26,SoHo,186248,677534
27,Stuyvesant Town,43567,321649
28,Theater District,106117,475260
29,Tribeca,126962,629206
30,Two Bridges,9586,57229
31,Upper East Side,288855,1551656
32,Upper West Side,383380,1856155
33,Washington Heights,61986,206120
34,West Village,277715,1048580
